name,genres
Counter-Strike,"[{'id': '1', 'description': 'Action'}]"
Team Fortress Classic,"[{'id': '1', 'description': 'Action'}]"
Day of Defeat,"[{'id': '1', 'description': 'Action'}]"
Deathmatch Classic,"[{'id': '1', 'description': 'Action'}]"
Half-Life: Opposing Force,"[{'id': '1', 'description': 'Action'}]"
Ricochet,"[{'id': '1', 'description': 'Action'}]"
Half-Life,"[{'id': '1', 'description': 'Action'}]"
Counter-Strike: Condition Zero,"[{'id': '1', 'description': 'Action'}]"
Half-Life: Blue Shift,"[{'id': '1', 'description': 'Action'}]"
Half-Life 2,"[{'id': '1', 'description': 'Action'}]"
Counter-Strike: Source,"[{'id': '1', 'description': 'Action'}]"
Half-Life: Source,"[{'id': '1', 'description': 'Action'}]"
Day of Defeat: Source,"[{'id': '1', 'description': 'Action'}]"
Half-Life 2: Deathmatch,"[{'id': '1', 'description': 'Action'}]"
Half-Life 2: Lost Coast,"[{'id': '1', 'description': 'Action'}]"
Half-Life Deathmatch: Source,"[{'id': '1', 'description': 'Action'}]"
Half-Life 2: Episode One,"[{'id': '1', 'description': 'Action'}]"
Portal,"[{'id': '1', 'description': 'Action'}]"
Half-Life 2: Episode Two,"[{'id': '1', 'description': 'Action'}]"
Team Fortress 2,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
Left 4 Dead,"[{'id': '1', 'description': 'Action'}]"
Left 4 Dead 2,"[{'id': '1', 'description': 'Action'}]"
Dota 2,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '2', 'description': 'Strategy'}]"
Portal 2,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Alien Swarm,"[{'id': '1', 'description': 'Action'}]"
Counter-Strike: Global Offensive,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
Half-Life: Opposing Force,
Rag Doll Kung Fu,"[{'id': '23', 'description': 'Indie'}]"
Red Orchestra: Ostfront 41-45,"[{'id': '1', 'description': 'Action'}]"
Killing Floor,"[{'id': '1', 'description': 'Action'}]"
SiN Episodes: Emergence,"[{'id': '1', 'description': 'Action'}]"
SiN Episodes: Emergence,"[{'id': '1', 'description': 'Action'}]"
SiN Episodes: Emergence,"[{'id': '1', 'description': 'Action'}]"
Darwinia,"[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
Uplink,"[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
DEFCON,"[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
Multiwinia,"[{'id': '23', 'description': 'Indie'}]"
Dangerous Waters,"[{'id': '2', 'description': 'Strategy'}]"
Space Empires IV Deluxe,"[{'id': '2', 'description': 'Strategy'}]"
Disciples II: Rise of the Elves ,"[{'id': '2', 'description': 'Strategy'}]"
Disciples II: Gallean's Return,"[{'id': '2', 'description': 'Strategy'}]"
Iron Warriors: T - 72 Tank Command ,"[{'id': '2', 'description': 'Strategy'}]"
Space Empires V,"[{'id': '2', 'description': 'Strategy'}]"
Arx Fatalis,"[{'id': '3', 'description': 'RPG'}]"
Source Filmmaker,"[{'id': '51', 'description': 'Animation & Modeling'}, {'id': '58', 'description': 'Video Production'}]"
Earth 2160,"[{'id': '2', 'description': 'Strategy'}]"
Two Worlds Epic Edition,"[{'id': '3', 'description': 'RPG'}]"
Dark Messiah of Might & Magic,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
Quake III Arena,"[{'id': '1', 'description': 'Action'}]"
Quake IV,"[{'id': '1', 'description': 'Action'}]"
Wolfenstein 3D,"[{'id': '1', 'description': 'Action'}]"
Ultimate Doom,"[{'id': '1', 'description': 'Action'}]"
Final DOOM,"[{'id': '1', 'description': 'Action'}]"
DOOM II,"[{'id': '1', 'description': 'Action'}]"
QUAKE,"[{'id': '1', 'description': 'Action'}]"
QUAKE II,"[{'id': '1', 'description': 'Action'}]"
QUAKE II Mission Pack: The Reckoning,"[{'id': '1', 'description': 'Action'}]"
QUAKE II Mission Pack: Ground Zero,"[{'id': '1', 'description': 'Action'}]"
QUAKE III: Team Arena,"[{'id': '1', 'description': 'Action'}]"
HeXen: Beyond Heretic,"[{'id': '1', 'description': 'Action'}]"
HeXen: Deathkings of the Dark Citadel,"[{'id': '1', 'description': 'Action'}]"
Heretic: Shadow of the Serpent Riders,"[{'id': '1', 'description': 'Action'}]"
The Ship: Murder Party,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
The Ship: Single Player,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
Bloody Good Time,"[{'id': '1', 'description': 'Action'}]"
Shadowgrounds,"[{'id': '1', 'description': 'Action'}]"
Gumboy - Crazy Adventures™,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
RIP - Trilogy™,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
Vigil: Blood Bitterness™,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
Alpha Prime,"[{'id': '1', 'description': 'Action'}]"
Vampire: The Masquerade - Bloodlines,"[{'id': '1', 'description': 'Action'}]"
GUN™,"[{'id': '1', 'description': 'Action'}]"
Call of Duty®,"[{'id': '1', 'description': 'Action'}]"
Call of Duty® 2,"[{'id': '1', 'description': 'Action'}]"
Call of Duty: United Offensive,"[{'id': '1', 'description': 'Action'}]"
RollerCoaster Tycoon® 3: Platinum,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Act of War: Direct Action,"[{'id': '1', 'description': 'Action'}]"
ThreadSpace: Hyperbol,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
ARMA: Combat Operations,"[{'id': '1', 'description': 'Action'}]"
X2: The Threat,"[{'id': '2', 'description': 'Strategy'}]"
X3: Reunion,"[{'id': '2', 'description': 'Strategy'}]"
X3: Terran Conflict,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
X: Beyond the Frontier,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
X: Tension,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
X Rebirth,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}]"
688(I) Hunter/Killer,"[{'id': '2', 'description': 'Strategy'}]"
Fleet Command,"[{'id': '2', 'description': 'Strategy'}]"
Sub Command,"[{'id': '2', 'description': 'Strategy'}]"
FlatOut 2™,"[{'id': '9', 'description': 'Racing'}]"
Xpand Rally,"[{'id': '9', 'description': 'Racing'}]"
Call of Juarez™,"[{'id': '1', 'description': 'Action'}]"
Xpand Rally Xtreme,"[{'id': '9', 'description': 'Racing'}]"
Men of War: Red Tide,"[{'id': '2', 'description': 'Strategy'}]"
King's Bounty: Armored Princess,"[{'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
Genesis Rising,"[{'id': '2', 'description': 'Strategy'}]"
Safecracker: The Ultimate Puzzle Adventure,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]"
Painkiller Overdose,"[{'id': '1', 'description': 'Action'}]"
Bejeweled 2 Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Chuzzle Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Insaniquarium Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Zuma Deluxe,"[{'id': '4', 'description': 'Casual'}]"
AstroPop Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Bejeweled Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Big Money! Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Dynomite Deluxe,"[{'id': '4', 'description': 'Casual'}]"
